_time,dev_id,gw_pwr_st,lat,long,ts,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,Charge_alt_V,Coolant_T,DG_Batt_V,DG_st,Eng_rpm,Eng_run_H,Eng_run_M,Fuel_L,Fuel_L_in_lit,G_L1_L2_V,G_L1_N_V,G_L1_fr,G_L2_L3_V,G_L2_N_V,G_L2_fr,G_L3_L1_V,G_L3_N_V,G_L3_fr,G_avg_pf,G_cum_En,G_cum_R_En,G_cum_ap_En,G_pf_L1,G_pf_L2,G_pf_L3,IO_diag,Ld_L1_A,Ld_L1_VA,Ld_L1_W,Ld_L1_var,Ld_L2_A,Ld_L2_VA,Ld_L2_W,Ld_L2_var,Ld_L3_A,Ld_L3_VA,Ld_L3_W,Ld_L3_var,Ld_Ttl_VA,Ld_Ttl_W,Ld_Ttl_var,M_L1_L2_V,M_L1_N_V,M_L1_fr,M_L2_L3_V,M_L2_N_V,M_L2_fr,M_L3_L1_V,M_L3_N_V,M_L3_fr,M_cum_En,M_cum_R_En,M_cum_ap_En,M_run_H,M_run_M,No_of_starts,No_of_trips,Oil_P,Pct_Ld,U_L,pro_rev
"09/12/2025, 11:53:20",MWX_ELM_GW10002,1,0,0,1765261388,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,232,50,403,233,50,401,232,50.1,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 11:54:00",MWX_ELM_GW10004,1,0,0,1765261433,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,43,13.4,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,233,50,404,234,50.1,403,232,50,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 11:54:20",MWX_ELM_GW10002,1,0,0,1765261458,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,232,50.1,403,232,50,400,231,50.1,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 11:55:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 11:55:40",MWX_ELM_GW10002,1,0,0,1765261528,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,232,50,403,233,50,400,231,50,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 11:56:00",MWX_ELM_GW10001,1,18.4,76.5,1765261557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 11:56:20",MWX_ELM_GW10004,1,0,0,1765261570,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,43,13.4,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,233,50,404,234,50,403,232,50.1,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 11:56:40",MWX_ELM_GW10002,1,0,0,1765261597,4368,4369,4352,241,273,17,4369,0,0,4096,4352,0,0.1,25,13.5,26752,0,84,57,89,229,0,0,0,0,0,0,0,0,0,0,2762,400,2795,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,232,50,403,232,50,400,231,50.1,0,0,0,0,0,255,17,0,0,100,1
"09/12/2025, 11:57:00",MWX_ELM_GW10005,1,0,0,1765261607,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,78,13.2,26753,0,44,54,78,201,0,0,0,0,0,0,0,0,0,0,1132,273,1169,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,231,50,398,231,50,399,230,50.1,0,0,0,0,0,385,7,0,0,100,1
"09/12/2025, 11:57:20",MWX_ELM_GW10004,1,0,0,1765261630,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,43,13.4,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,233,50.1,404,234,50.1,404,232,50.1,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 11:57:40",MWX_ELM_GW10004,1,0,0,1765261640,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,43,13.4,26753,0,356,6,85,219,0,0,0,0,0,0,0,0,0,0,6553695,1555,65536319,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,233,50.1,404,234,50.1,403,232,50.1,0,0,0,0,0,1127,22,0,0,36,1
"09/12/2025, 11:58:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 11:58:20",MWX_ELM_GW10001,1,18.4,76.5,1765261698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 11:59:00",MWX_ELM_GW10005,1,0,0,1765261737,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,77,13.2,26753,0,44,54,78,201,0,0,0,0,0,0,0,0,0,0,1132,273,1169,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,231,50.1,398,231,50.1,400,230,50.1,0,0,0,0,0,385,7,0,0,100,1
"09/12/2025, 11:59:20",MWX_ELM_GW10005,1,0,0,1765261748,4368,4369,4352,241,273,17,4369,1280,0,4096,4352,0,0.1,77,13.3,26753,0,44,54,78,201,0,0,0,0,0,0,0,0,0,0,1132,273,1169,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,231,50.1,398,231,50.1,400,230,50.1,0,0,0,0,0,385,7,0,0,100,1
"09/12/2025, 11:59:40",MWX_ELM_GW10003,1,17.6,78.2,1765261778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09/12/2025, 12:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
