_time,gw_pwr_st,lat,long,ts,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,Charge_alt_V,Coolant_T,DG_Batt_V,DG_st,Eng_rpm,Eng_run_H,Eng_run_M,Fuel_L,Fuel_L_in_lit,G_L1_L2_V,G_L1_N_V,G_L1_fr,G_L2_L3_V,G_L2_N_V,G_L2_fr,G_L3_L1_V,G_L3_N_V,G_L3_fr,G_avg_pf,G_cum_En,G_cum_R_En,G_cum_ap_En,G_pf_L1,G_pf_L2,G_pf_L3,IO_diag,Ld_L1_A,Ld_L1_VA,Ld_L1_W,Ld_L1_var,Ld_L2_A,Ld_L2_VA,Ld_L2_W,Ld_L2_var,Ld_L3_A,Ld_L3_VA,Ld_L3_W,Ld_L3_var,Ld_Ttl_VA,Ld_Ttl_W,Ld_Ttl_var,M_L1_L2_V,M_L1_N_V,M_L1_fr,M_L2_L3_V,M_L2_N_V,M_L2_fr,M_L3_L1_V,M_L3_N_V,M_L3_fr,M_cum_En,M_cum_R_En,M_cum_ap_En,M_run_H,M_run_M,No_of_starts,No_of_trips,Oil_P,Pct_Ld,U_L,pro_rev,dev_id,humidity,temperature
2025-12-09 12:11:00,1.0,18.4,76.5,1765262468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:12:00,1.0,18.4,76.5,1765262538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:15:00,1.0,18.4,76.5,1765262680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:21:00,1.0,18.4,76.5,1765263094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:25:00,1.0,18.4,76.5,1765263295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:27:00,1.0,18.4,76.5,1765263426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:28:00,1.0,18.4,76.5,1765263501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:29:00,1.0,18.4,76.5,1765263572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:30:00,1.0,18.4,76.5,1765263632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:31:00,1.0,18.4,76.5,1765263643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:42:00,1.0,18.4,76.5,1765264340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:48:00,1.0,18.4,76.5,1765264667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:51:00,1.0,18.4,76.5,1765264869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:52:00,1.0,18.4,76.5,1765264940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:56:00,1.0,18.4,76.5,1765265147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:57:00,1.0,18.4,76.5,1765265217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:58:00,1.0,18.4,76.5,1765265288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 12:59:00,1.0,18.4,76.5,1765265358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 13:00:00,1.0,18.4,76.5,1765265429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 13:01:00,1.0,18.4,76.5,1765265499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
2025-12-09 13:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWX_ELM_GW10001,,
